0,patient1,patient2,patient3,patient4,patient5,patient6,patient7,patient8,patient9,patient10
A1BG,14.0,5.0,1.0,1.0,2.0,9.0,7.0,9.0,8.0,18.0
A1BG-AS1,6.0,0.0,1.0,4.0,1.0,11.0,7.0,2.0,7.0,8.0
A1CF,5.0,11.0,5.0,11.0,4.0,10.0,6.0,14.0,2.0,8.0
A2M,29590.0,39350.0,31462.0,13973.0,32200.0,25543.0,21258.0,20360.0,35389.0,30573.0
A2M-AS1,16.0,59.0,42.0,48.0,71.0,51.0,36.0,59.0,57.0,70.0
A2ML1,102.0,64.0,15.0,11.0,1.0,43.0,30.0,70.0,8.0,32.0
A2MP1,7.0,23.0,13.0,18.0,25.0,13.0,12.0,13.0,47.0,1.0
A3GALT2,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
A4GALT,737.0,1186.0,619.0,420.0,637.0,890.0,549.0,771.0,624.0,632.0
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
AA06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,266.0,333.0,447.0,215.0,295.0,294.0,218.0,178.0,367.0,276.0
AACS,268.0,210.0,108.0,56.0,113.0,179.0,148.0,103.0,251.0,260.0
AACSP1,7.0,6.0,6.0,13.0,8.0,12.0,11.0,16.0,1.0,7.0
AADAC,15.0,0.0,3.0,0.0,0.0,3.0,4.0,5.0,22.0,14.0
AADACL2,131.0,20.0,8.0,0.0,0.0,30.0,46.0,43.0,73.0,71.0
AADACL2-AS1,0.0,9.0,2.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0
AADACL3,5.0,2.0,0.0,4.0,4.0,1.0,3.0,4.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACP1,12.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,4.0,0.0
AADAT,2.0,3.0,3.0,10.0,1.0,5.0,9.0,9.0,9.0,7.0
AAED1,1117.0,1136.0,1450.0,636.0,813.0,910.0,997.0,711.0,1800.0,1056.0
AAGAB,590.0,657.0,668.0,426.0,587.0,682.0,645.0,165.0,684.0,657.0
AAK1,268.0,889.0,486.0,707.0,475.0,521.0,508.0,586.0,204.0,331.0
AAMDC,293.0,260.0,702.0,230.0,380.0,359.0,290.0,287.0,634.0,311.0
AAMP,1071.0,1497.0,1379.0,602.0,1009.0,1106.0,892.0,533.0,1141.0,1055.0
AANAT,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0
AAR2,391.0,933.0,645.0,368.0,368.0,534.0,510.0,269.0,817.0,627.0
AARD,1.0,13.0,1.0,5.0,2.0,3.0,2.0,11.0,0.0,3.0
AARS,751.0,1871.0,1190.0,624.0,1209.0,1125.0,715.0,471.0,1011.0,1051.0
AARS2,122.0,355.0,191.0,110.0,142.0,218.0,139.0,114.0,132.0,147.0
AARSD1,276.0,455.0,435.0,188.0,315.0,253.0,209.0,204.0,447.0,231.0
AASDH,123.0,253.0,252.0,141.0,163.0,179.0,211.0,126.0,346.0,287.0
AASDHPPT,517.0,759.0,920.0,539.0,719.0,604.0,645.0,286.0,991.0,1022.0
AASS,1066.0,1410.0,546.0,815.0,611.0,947.0,833.0,843.0,558.0,895.0
AATBC,9.0,0.0,3.0,3.0,4.0,10.0,12.0,2.0,1.0,12.0
AATF,1044.0,1351.0,1074.0,589.0,749.0,887.0,774.0,462.0,829.0,782.0
AATK,1.0,1.0,1.0,3.0,3.0,3.0,4.0,14.0,3.0,3.0
AATK-AS1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ABALON,95.0,186.0,118.0,91.0,85.0,137.0,85.0,46.0,94.0,77.0
ABAT,27.0,30.0,22.0,23.0,42.0,46.0,29.0,34.0,27.0,48.0
ABCA1,148.0,299.0,274.0,985.0,526.0,230.0,219.0,1425.0,85.0,360.0
ABCA10,13.0,12.0,13.0,21.0,11.0,18.0,16.0,18.0,34.0,25.0
ABCA11P,77.0,162.0,128.0,61.0,113.0,105.0,75.0,82.0,165.0,126.0
ABCA12,111.0,8.0,1.0,0.0,0.0,18.0,14.0,31.0,7.0,60.0
ABCA13,30.0,5.0,5.0,3.0,1.0,5.0,5.0,11.0,3.0,4.0
ABCA17P,2.0,0.0,6.0,10.0,0.0,6.0,1.0,1.0,3.0,3.0
ABCA2,73.0,290.0,166.0,92.0,107.0,182.0,62.0,144.0,87.0,154.0
ABCA3,106.0,197.0,260.0,146.0,200.0,174.0,123.0,43.0,142.0,148.0
ABCA4,10.0,10.0,2.0,10.0,4.0,6.0,4.0,0.0,4.0,8.0
ABCA5,347.0,513.0,496.0,536.0,319.0,487.0,506.0,699.0,326.0,507.0
ABCA6,0.0,26.0,26.0,17.0,2.0,12.0,2.0,2.0,2.0,1.0
ABCA7,57.0,89.0,30.0,25.0,82.0,114.0,29.0,88.0,41.0,48.0
ABCA8,0.0,5.0,4.0,4.0,3.0,7.0,4.0,11.0,1.0,3.0
ABCA9,31.0,65.0,26.0,65.0,33.0,35.0,48.0,50.0,17.0,24.0
ABCA9-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ABCB1,1410.0,2813.0,766.0,658.0,763.0,1964.0,2147.0,689.0,1678.0,3148.0
ABCB10,153.0,414.0,418.0,240.0,375.0,371.0,356.0,171.0,372.0,396.0
ABCB11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
ABCB4,127.0,157.0,22.0,50.0,67.0,113.0,99.0,36.0,73.0,56.0
ABCB5,5.0,16.0,16.0,35.0,9.0,21.0,24.0,27.0,4.0,5.0
ABCB6,118.0,144.0,131.0,83.0,104.0,137.0,76.0,64.0,152.0,113.0
ABCB7,208.0,284.0,324.0,149.0,280.0,263.0,295.0,264.0,390.0,290.0
ABCB8,98.0,176.0,125.0,71.0,79.0,126.0,78.0,50.0,171.0,129.0
ABCB9,12.0,42.0,24.0,15.0,38.0,12.0,11.0,9.0,22.0,20.0
ABCC1,128.0,157.0,108.0,123.0,121.0,197.0,159.0,166.0,71.0,108.0
ABCC10,41.0,311.0,132.0,76.0,176.0,128.0,111.0,70.0,111.0,134.0
ABCC11,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ABCC12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC13,5.0,9.0,2.0,10.0,3.0,6.0,5.0,8.0,4.0,7.0
ABCC2,28.0,12.0,15.0,35.0,19.0,33.0,40.0,13.0,28.0,28.0
ABCC3,114.0,17.0,89.0,60.0,30.0,32.0,18.0,50.0,35.0,31.0
ABCC4,226.0,466.0,387.0,271.0,448.0,408.0,363.0,138.0,256.0,386.0
ABCC5,181.0,476.0,176.0,149.0,146.0,264.0,170.0,200.0,211.0,317.0
ABCC5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC6,0.0,5.0,2.0,1.0,10.0,1.0,2.0,3.0,0.0,0.0
ABCC6P1,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,6.0,2.0
ABCC6P2,2.0,5.0,0.0,1.0,0.0,2.0,3.0,4.0,3.0,3.0
ABCC8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ABCC9,148.0,210.0,87.0,223.0,72.0,174.0,154.0,297.0,37.0,86.0
ABCD1,32.0,31.0,37.0,10.0,29.0,36.0,14.0,25.0,23.0,30.0
ABCD2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ABCD3,317.0,465.0,528.0,412.0,487.0,555.0,623.0,207.0,689.0,854.0
ABCD4,2118.0,2848.0,1740.0,1564.0,1773.0,2151.0,1890.0,2573.0,2458.0,1949.0
ABCE1,2129.0,2381.0,1583.0,1546.0,1332.0,1695.0,1765.0,970.0,1501.0,2049.0
ABCF1,1399.0,1208.0,1108.0,704.0,518.0,833.0,870.0,910.0,549.0,763.0
ABCF2,455.0,907.0,843.0,440.0,582.0,759.0,573.0,207.0,737.0,622.0
ABCF3,510.0,950.0,573.0,325.0,628.0,628.0,504.0,221.0,607.0,512.0
ABCG1,1086.0,2283.0,2155.0,2455.0,2840.0,1718.0,1747.0,2110.0,1469.0,1912.0
ABCG2,1182.0,1241.0,948.0,117.0,635.0,1652.0,596.0,257.0,2611.0,3101.0
ABCG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG5,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ABCG8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ABHD1,2.0,20.0,10.0,3.0,6.0,6.0,1.0,6.0,11.0,8.0
ABHD10,347.0,366.0,633.0,285.0,484.0,458.0,445.0,192.0,748.0,595.0
ABHD11,100.0,160.0,236.0,101.0,173.0,145.0,80.0,103.0,183.0,101.0
ABHD11-AS1,12.0,25.0,76.0,9.0,55.0,11.0,0.0,11.0,24.0,7.0
ABHD12,469.0,746.0,594.0,439.0,617.0,445.0,400.0,314.0,723.0,609.0
