pathwy.id	description	pvalues	Bonferroni	successes	PathwaySize	N	sample.size	Genes
hsa04060	Cytokine-cytokine receptor interaction	3.043e-20	9.281e-18	71.77	14774.33	452219.24	601.59	TNFRSF18;IL1RN;TNFRSF19;ACKR3;CCL27;CXCL14;IL17RE;IL20;IL20RA;IL20RB;IL22RA1;BMPR1A;CD4;IL18;CCL20;IL10RA;IL7;LIF;IL1B;TNF
hsa04550	Signaling pathways regulating pluripotency of stem cells	6.165e-20	1.88e-17	32.88	2763.67	452219.24	601.59	DLX5;ISL1;OTX1;ID4;LIF;FGFR2;FGFR3;AXIN2;FZD10;WNT10B;FZD7;WNT16;WNT5B;WNT4;WNT3;BMPR1A
hsa04514	Cell adhesion molecules (CAMs)	5.502e-18	1.678e-15	37.98	4511.16	452219.24	601.59	CDH3;CNTN1;NLGN4Y;NEO1;PVRL1;PTPRF;SDC4;CLDN4;CLDN8;SDC1;CD4;CD86;CLDN1;CDH1;VCAM1;ITGA4
hsa05202	Transcriptional misregulation in cancer	1.551e-09	4.731e-07	34.59	7571.07	452219.24	601.59	HPGD;PAX3;BCL11B;UTY;SPINT1;ARNT2;MAF;CEBPA;JUP;SPI1;WNT16;CD86
hsa04151	PI3K-Akt signaling pathway	2.335e-09	7.122e-07	30.87	6155.81	452219.24	601.59	MYB;IL7;LPAR3;NTF3;NTF4;PPP2R2C;LPAR5;THBS2;THBS4;ERBB4;LAMB4;COL4A6;LPAR1;ERBB3;ITGB6;FGF18;FN1;ITGA4;FGFR2;FGFR3;BCL2;PDGFC
hsa04360	Axon guidance	1.032e-08	3.148e-06	33.43	7774.33	452219.24	601.59	SEMA3C;EFNB3;EPHB3;EPHB6;TRPC6;NEO1;SMO;PARD6G;PAK6;PAK6;WNT5B;WNT4;SRC
hsa04310	Wnt signaling pathway	8.228e-08	2.51e-05	23.92	4523.52	452219.24	601.59	RNF43;LGR4;VANGL2;LGR6;AXIN2;FZD10;WNT16;WNT3;WNT10B;WNT5B;FZD7;WNT4
hsa00330	Arginine and proline metabolism	1.482e-07	4.52e-05	9	593.67	452219.24	601.59	CKB;CKMT1B;CKMT1A;PRODH;GATM
hsa04657	IL-17 signaling pathway	2.707e-07	8.256e-05	10.11	837.5	452219.24	601.59	S100A7;S100A8;S100A9;IL17RE;CCL20;IL1B;TNF
hsa05146	Amoebiasis	7.3e-07	0.0002226	9.66	720.28	452219.24	601.59	SERPINB4;GNA15;RAB7B;CD1A;CD1E;LAMB4;COL4A6;FN1;TNF;IL1B
hsa04916	Melanogenesis	2.14e-06	0.0006527	6.48	271.53	452219.24	601.59	DCT;TYR;TYRP1;FZD10;WNT16;WNT3;WNT10B;WNT5B;FZD7;WNT4
hsa05150	Staphylococcus aureus infection	3.955e-06	0.001206	10.75	1133.3	452219.24	601.59	DSG1;DEFB1;CFH;KRT10;KRT14;KRT15;KRT19;KRT31
hsa04974	Protein digestion and absorption	4.864e-06	0.001484	14.66	2350.72	452219.24	601.59	COL7A1;COL17A1;SLC7A8;COL27A1;SLC16A10;PRSS3;COL4A6
hsa00910	Nitrogen metabolism	9.372e-06	0.002858	4.74	96.14	452219.24	601.59	CA14;CA9;CA12;CA2
