pathwy.id	description	pvalues	Bonferroni	successes	PathwaySize	N	sample.size	Genes
R-HSA-6809371	Formation of the cornified envelope	3.381e-155	3.384e-152	193.92	7607.44	603749.5	1070.73	CSTA;DSC1;DSC3;PRSS8;SPINK5;PKP3;KLK8;KRT80;EVPL;CASP14;KRT1;KRT10;KRT15;KRT19;KRT31;ST14;PERP;KRT5;KRT14;DSG1;DSG3;PKP1;JUP
R-HSA-71291	Metabolism of amino acids and derivatives	3.371e-65	3.374e-62	129.88	10551.85	603749.5	1070.73	DCT;PHGDH;PSAT1;HAL;PRODH;TYR;TYRP1;BBOX1;CRYM;HAAO;CKB;CKMT1B;ASPA;CKMT1A;FOLH1;FOLH1;GATM;ASPG;DUOX1;MAT1A;SLC7A5
R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	3.209e-29	3.212e-26	72.7	7754.61	603749.5	1070.73	MST1R;NTF3;PDGFC;THBS4;SPINT1;SPINT2;PTPN3;NTF4;TNS4;ESRP2;FGFBP1;THBS2;JUP;NCF2;ESRP1;PTK6;COL27A1;APOE;VAV3;S100B;ERBB3;NRG1;NRG2;ERBB4;FGFR2;FGFR3;FGF18;FN1
R-HSA-190861	Gap junction assembly	1.132e-21	1.133e-18	18.12	311.44	603749.5	1070.73	GJB6;GJB4;GJA4;GJB1;GJB3;GJB5;TUBB4A
R-HSA-71288	Creatine metabolism	1.526e-10	1.528e-07	6	42.48	603749.5	1070.73	CKB;CKMT1B;GATM;CKMT1A
R-HSA-8963693	Aspartate and asparagine metabolism	1.526e-10	1.528e-07	6	41.55	603749.5	1070.73	FOLH1;FOLH1;ASPG;ASPA
R-HSA-2672351	Stimuli-sensing channels	2.314e-08	2.316e-05	24.83	3404.65	603749.5	1070.73	CLCA4;ANO9;ANO1;CLCA2;WNK2;TRPV6;RYR1;RYR2;TRPC6
R-HSA-421270	Cell-cell junction organization	2.043e-07	0.0002045	7.9	225.11	603749.5	1070.73	PARD6G;CRB3;CDH3;PVRL1;PVRL4;JUP;CDH1
R-HSA-8854691	Interleukin-20 family signaling	3.398e-07	0.0003401	6	149.33	603749.5	1070.73	IL20;IL20RA;IL20RB;IL22RA1
R-HSA-211981	Xenobiotics	3.535e-07	0.0003539	6.68	149.99	603749.5	1070.73	CYP2C18;CYP3A5;CYP2J2;ARNT2;CYP2S1
R-HSA-6803157	Antimicrobial peptides	8.337e-07	0.0008345	15.32	1736.39	603749.5	1070.73	PGLYRP3;DCD;PGLYRP4;S100A7;DEFB1;S100A8;S100A9;CD4;PRSS3
R-HSA-3238698	WNT ligand biogenesis and trafficking	2.573e-06	0.002576	6.02	210.85	603749.5	1070.73	WNT16;WNT10B;WNT3;WNT4;WNT5B
R-HSA-6783783	Interleukin-10 signaling	4.326e-06	0.00433	6.69	230.96	603749.5	1070.73	IL10RA;CCL20;IL1RN;CD86;LIF;IL18;TNF;IL1B
R-HSA-418990	Adherens junctions interactions	1.635e-05	0.01637	7.68	438.34	603749.5	1070.73	CDH3;PVRL1;PVRL4;JUP;CDH1
R-HSA-1475029	Reversible hydration of carbon dioxide	9.649e-05	0.09659	3.87	49.11	603749.5	1070.73	CA14;CA12;CA2;CA9
R-HSA-195721	Signaling by WNT	0.0001007	0.1008	13.14	2042.52	603749.5	1070.73	WNT16;WNT10B;FZD7;WNT4;WNT5B;LGR4;SOX6;LGR6;SOX9;KREMEN2;RNF43;AXIN2;RUNX3;WNT3
R-HSA-201681	TCF dependent signaling in response to WNT	0.0001391	0.1392	12.9	1828.84	603749.5	1070.73	WNT3;KREMEN2;SOX6;SOX9;LGR4;LGR6;AXIN2;RUNX3;RNF43
R-HSA-216083	Integrin cell surface interactions	0.0002131	0.2133	8.11	880.27	603749.5	1070.73	ITGA4;VCAM1;ITGB6;COL16A1;CDH1;COL4A6;CD44;COL7A1;FN1
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	0.0002179	0.2181	48.24	15560.89	603749.5	1070.73	HCAR2;SUCNR1;HCAR3;ADORA2B;LPAR1;LPAR3;LPAR5;HTR2B;NMU;F2RL1;NPY1R;P2RY1;CCL27;ACKR3;CCL20
R-HSA-446107	Type I hemidesmosome assembly	0.0002421	0.2423	2.24	12.72	603749.5	1070.73	KRT5;KRT14;COL17A1
R-HSA-211945	Phase I - Functionalization of compounds	0.0003771	0.3775	10.72	1474.18	603749.5	1070.73	AADAC;FMO1;CYP2C18;CYP3A5;CYP1B1;CYP2J2;CYP2S1;CYP26B1;ARNT2;CYP4B1
R-HSA-211897	Cytochrome P450 - arranged by substrate type	0.0003828	0.3832	6.19	521.33	603749.5	1070.73	CYP26B1;CYP1B1;CYP4B1;CYP2C18;CYP3A5;CYP2J2;CYP2S1;ARNT2
R-HSA-419408	Lysosphingolipid and LPA receptors	0.0005459	0.5464	3	87.75	603749.5	1070.73	LPAR1;LPAR3;LPAR5
